trial_num,answere,response,clicks,correct,time_start,time_end
0,1|7,1|7,2,True,1625813666.2142584,1625813670.9563725
1,2|3,2|3,2,True,1625813675.5675726,1625813679.514896
2,4|5|9,4|5|9,3,True,1625813685.1053772,1625813689.666339
3,1|3|9,1|3|9,3,True,1625813695.2809956,1625813699.2974708
4,2|4|8|9,2|4|8|9,4,True,1625813705.8439596,1625813711.7616239
5,1|3|5|9,1|3|5|9,4,True,1625813718.336489,1625813723.6738133
6,1|2|4|5|6,1|2|4|5|6,5,True,1625813731.252091,1625813739.1867213
7,1|3|4|6|7,1|3|4|6|7,5,True,1625813746.7385435,1625813754.361174
8,2|3|4|5|6|8,2|3|4|5|6|8,6,True,1625813762.924663,1625813770.3463733
9,1|4|6|7|8|9,1|4|6|7|8|9,6,True,1625813778.961978,1625813785.9584525
10,1|3|4|5|6|8|9,1|3|4|5|6|8|9,7,True,1625813795.5369172,1625813803.1422925
11,2|3|5|6|7|8|9,3|5|2|6|7|8|9,7,False,1625813812.6945117,1625813820.6668785
12,1|2|3|4|5|6|7|9,1|2|3|5|4|6|7|9,8,False,1625813831.2118497,1625813839.986404
13,1|2|3|4|6|7|8|9,1|4|3|7|6|8|9,7,False,1625813850.5287786,1625813860.1547375
