trial_num,answere,response,clicks,correct,time_start,time_end
0,1|6,1|6,2,True,1626151401.4114842,1626151405.517105
1,2|3,2|3,2,True,1626151410.1374393,1626151413.854923
2,1|2|4,1|2|4,3,True,1626151419.479014,1626151423.0467913
3,2|5|6,2|5|6,3,True,1626151428.6419005,1626151432.7621684
4,2|4|8|9,2|4|8|9,4,True,1626151439.3744001,1626151444.2246804
5,2|3|6|8,2|3|6|8,4,True,1626151450.8127906,1626151455.95377
6,1|3|4|5|9,1|3|4|5|9,5,True,1626151463.549609,1626151469.367109
7,2|3|4|7|9,2|3|7|4|9,5,False,1626151476.9406319,1626151485.0911357
8,1|3|4|6|7|8,1|3|4|7|6|8,6,False,1626151493.640941,1626151501.5456054
9,1|3|5|6|7|8,6|3|5|1|7|4,6,False,1626151510.1414957,1626151519.6146703
