trial_num,answere,response,clicks,correct,time_start,time_end
0,5|9,5|9,2,True,1625551203.8459427,1625551207.4052505
1,3|6,3|6,2,True,1625551212.0037358,1625551215.5439851
2,1|2|4,1|2|4,3,True,1625551221.1608844,1625551225.9126382
3,4|6|8,4|6|8,3,True,1625551231.5108252,1625551236.7474713
4,4|5|8|9,4|5|8|9,4,True,1625551243.3363974,1625551248.5083172
5,2|5|7|9,2|5|7|9,4,True,1625551255.0749526,1625551260.7549033
6,1|3|4|7|9,1|3|4|7|5,5,False,1625551268.337459,1625551275.8354514
7,1|4|6|8|9,1|4|6|8|9,5,True,1625551283.413935,1625551291.1171422
8,1|3|5|7|8|9,1|3|5|7|8|9,6,True,1625551299.6886182,1625551308.6512196
9,1|2|3|5|6|9,1|2|3|9|8|6,6,False,1625551317.2154288,1625551327.025913
10,1|3|4|5|6|7|9,1|3|4|6|5|7|9,7,False,1625551336.5757258,1625551346.601246
11,1|2|3|5|6|7|9,1|3|2|6|5|7|9,7,False,1625551356.1482675,1625551368.5044816
